id,name,cost,rarity,description
horseshoe,Horseshoe,2,common,+4 mult
wedding_ring,Wedding Ring,3,common,If played hand contains a Pair +8 mult
town_choir,Town Choir,4,common,If played hand contains 3 of a Kind +12 mult
deputy_brothers,Deputy Brothers,4,common,If played hand contains Two Pair +10 mult
work_boots,Work Boots,3,common,If played hand contains Pair +50 miles
buffalo_stampede,Buffalo Stampede,4,common,If played hand contains 3 of a Kind +100 miles
trail_rations,Trail Rations,5,common,+30 miles per unused reroll
deadeye,Deadeye,5,common,+20 mult if 3 or fewer dice are scored
stubborn_mule,Stubborn Mule,5,common,+15 mult when 0 rerolls remaining
toolbelt,Toolbelt,4,common,+3 mult for each piece of equipment. Currently +0
even_odds,Even Odds,4,common,+4 mult when an even value is scored
odd_fellow,Odd Fellow,4,common,+31 miles when an odd value is scored
dynamite,Dynamite,5,common,+15 mult. 1 in 6 chance to be destroyed at end of round.
spare_holster,Spare Holster,4,common,+1 reroll per leg
payday,Payday,6,common,Earn $4 at end of round. Jesse Rawlins (Outlaw) earns $12
bottom_dollar,Bottom Dollar,5,common,Adds double the rank of lowest held-in-hand die to mult
ace_in_the_hole,Ace in the Hole,8,rare,Each 1 held in hand gives x1.5 mult
prospectors_pouch,Prospector's Pouch,6,common,Each enhanced die held in hand has a  1 in 2  chance to give  $1
eleventh_crossing,The Eleventh Crossing,5,common,Each  11  held in hand gives  +11 mult
rabbits_foot,Rabbit's Foot,6,uncommon,"Item gains x0.25 mult for every lucky dice trigger
Also makes Rabbit's Foot supply cards 2 times more likely"
collectors_case,Collector's Case,8,rare,Uncommon equipment each give x1.5 mult
money_wagon,Money Wagon,6,uncommon,+2 miles for every $1 you have
bargain_bin,Bargain Bin,6,uncommon,Item gains  +2  mult per reroll in the shop
fading_memory,Fading Memory,5,common,"+20  mult,  -4  mult per round played, removed after  5 rounds"
card_counter,Card Counter,6,uncommon,Item gains  +2  mult if played hand contains  Two Pair . Victor Hale (Con Artist) gains  +4  mult if played hand contains  Two Pair .
lucky_number,Lucky Number,8,rare,Each played  7  gives  x1.5  mult when scored. Number changes each round.
worn_deck,Worn Deck,6,uncommon,x2  Mult. Loses  x0.01  mult per dice rerolled
war_drums,War Drums,6,uncommon,Retrigger all dice played for the next  10 days  of travel
snake_oil_ledger,Snake Oil Ledger,9,rare,Item gains  x0.25  mult for each card sold. Resets when boss is defeated.
gold_tooth,Gold Tooth,4,common,"Played gold dice earn  $4
Also makes Pan for Gold supply cards 2 times more likely"
guardian_totem,Guardian Totem,5,uncommon,Prevents death if miles travelled is at least  25%  of required distance. Card is destroyed if used.
high_noon,High Noon,6,uncommon,x3  mult on  final day  of round
desperado,Desperado,4,common,Add the sell value of all other owned equipment as  mult
mystery_crate,Mystery Crate,6,uncommon,Add a dice at the start of each round with a random sticker
trail_repair_kit,Trail Repair Kit,5,uncommon,Negates negative trail event penalties. Gains  x0.25  mult each time it prevents a penalty.
scouts_spyglass,Scout's Spyglass,6,uncommon,"View from the spyglass before the next trail event. 
Avoid to skip it, or investigate for  +20  stored miles and face the full event."
saint_elmos_shield,Saint Elmo's Shield,20,legendary,Disables all boss effects and negative effects from trail events are prevented. Divine favor intervenes.
book_of_the_dead,Book of the Dead,20,legendary,Gains  x1  mult for each destroyed enhanced dice
devils_hand,The Devil's Hand,20,legendary,Played  6 's give  x2  mult when scored
twenty_third_psalm,The 23rd Psalm,20,legendary,Item gains  x1  mult for every  23  dice rerolled
sharpening_stone,Sharpening Stone,6,uncommon,x1  mult. Gains  x0.1  mult for every  10  dice scored
ghost_lantern,Ghost Lantern,20,legendary,Creates a ghost copy of a random consumable card in your possession at the end of the shop phase
seventh_trumpet,The Seventh Trumpet,20,legendary,"Retriggers all played dice, and all held in hand effects"
twin_colts,Twin Colts,4,common,If played hand contains  Two Pair   +80  miles
rail_line,Rail Line,4,common,If played hand contains a  4 Straight   +80  miles
long_haul,Long Haul,4,common,If played hand contains a  5 Straight   +100  miles
silver_bullets,Silver Bullets,5,uncommon,Retrigger all dice held in hand
funeral_pyre,Funeral Pyre,6,uncommon,"When starting round, destroy equipment to right and add double its sell value as  mult"
quarry_stone,Quarry Stone,6,uncommon,Add one stone die to collection when starting round
six_shooter,Six Shooter,5,uncommon,x4  mult every  6th  hand played
wild_card,Wild Card,4,common,+0  to  +23  mult  random
bank_note,Bank Note,1,common,"Go up to  $20  in debt. When Charles Whitlock (Banker) sells this item, his debt is wiped clean."
snake_eyes,Snake Eyes,5,uncommon,1 in 4  chance to get a supply card when a 1 is scored. Abigail Turner (Merchant) has a  1 in 2  chance.
coupon_book,Coupon Book,4,common,1 free reroll per shop visit
last_stand,Last Stand,5,uncommon,Retrigger all played dice on final day of round
lucky_find,Lucky Find,8,rare,"If one die is scored alone on day 1, give it a random enhancement, aura, and sticker"
iron_furnace,Iron Furnace,7,uncommon,"x0.2  mult for each steel die in collection
Also makes Coffee Tin supply cards 2 times more likely
Currently in collection: 0 steel dice x1.0"
rainy_day_fund,Rainy Day Fund,4,common,$1 per unused reroll at end of round
one_eyed_jack,One-Eyed Jack,6,uncommon,Retrigger each played 1
gold_pan,Gold Pan,4,common,"1 in 2 chance to give $2 when an enhanced die scores.
Davis Holler (Prospector) has a guaranteed chance."
trail_journal,Trail Journal,5,uncommon,Adds the number of times the hand has been played this trip as  mult
marked,Marked,6,uncommon,+1  mult per hand played without scoring a 6. Scoring a 6 resets mult to 0. Isaac Granger (Demon Hunter) gets  +2  per hand.
surveyors_transit,Surveyor's Transit,5,uncommon,1 in 4  chance to upgrade trail knowledge of hand type played.  1 in 2  chance if used by Elias Mercer (Surveyor).
guide_lantern,Guide Lantern,6,uncommon,"Gain  x0.1 mult for every trail guide used.
Caleb Winters (Scout) gains  x0.2 mult for every trail guide used."
steam_engine,Steam Engine,5,uncommon,Gains  +100  miles.  -5  miles per hand played.
bloodline,Bloodline,8,rare,"If first day of round only scores one die, add a permanent copy to your collection"
open_palm,Open Palm,3,common,All dice count when scoring
hellfire_round,Hellfire Round,6,rare,"If first hand of round is a single enhanced 6, destroy it and gain a Frontier Encounter card"
cowboy_boots,Cowboy Boots,5,uncommon,Every played die permanently gains  +5  miles when scored
trail_tax,Trail Tax,4,common,"+2  mult per day travelled,  -1  mult per reroll used"
wanted_poster,Wanted Poster,4,common,Earn  $4  when hand is  High Value
nitro,Nitro,4,rare,x3  mult.  1 in 1000  chance to be destroyed at end of round.
repeat_offender,Repeat Offender,6,uncommon,x3  mult if played hand has already been played this round
tight_fist,Tight Fist,5,uncommon,Gains  +3  mult when any booster pack is skipped
haunted_totem,Haunted Totem,4,uncommon,Gains  x0.5  mult when round starts (not boss rounds). Destroys one random equipment.
square_dance,Square Dance,4,common,Gains  +4  miles if played hand has exactly  4 dice
junk_dealer,Junk Dealer,6,uncommon,"When round starts, create 2 common pieces of equipment.
Occult Trader (Vivian Crowe) can also create uncommon/rare equipment."
new_blood,New Blood,7,uncommon,Gains  x0.25  mult for every new dice added to collection
emergency_supplies,Emergency Supplies,8,uncommon,Create a random supply card if hand is played with  $4  or less. Dr. Eleanor Sykes (Doctor) gets a supply card if hand is played with  $8  or less.
railroad_bonds,Railroad Bonds,6,uncommon,"Earn  $1  at end of round, increased by  $2  for every boss defeated"
leftovers,Leftovers,4,common,1 in 2 chance to gain a supply card when opening a booster pack. Martha Delaney (Cook) has a 1 in 1 chance.
rustler,Rustler,5,common,Choose 1 additional item when opening any booster pack
campfire_stories,Campfire Stories,6,uncommon,"+1  mult per supply card used this journey
Currently:  +undefined"
quarry_mine,Quarry Mine,6,uncommon,"+25 miles for each stone die in collection
Also makes Chisel supply cards 2 times more likely"
antique_revolver,Antique Revolver,4,common,"When round starts, gain  $3  of sell value to current card"
hardtack,Hardtack,6,uncommon,"When round starts, gain  +3 days  and lose all rerolls"
manifest_destiny,Manifest Destiny,5,uncommon,Gains  +15  miles if hand contains a  5 Straight
rail_splitter,Rail Splitter,4,common,If played hand contains a  4 Straight   +8  mult
open_range,Open Range,3,common,If played hand contains  5 Straight +12  mult
