id,name,description,category,weight,demonHunterOnly,minimumLeg,choice1,outcome1,choice2,outcome2,choice3,outcome3,choice4,outcome4
abandoned_wagon,Abandoned Wagon,"A wagon lies overturned on the trail, its contents scattered.",positive,3,false,5,take: Scavenge the wreckage,"You found 2 bone dice with purple flower stickers! However you feel a dark aura and your lucky will change soon. — GAIN_DICE(count=2, enhancement=bone, sticker=purple_flower); BOSS_UPGRADE(multiplier=1.5)",,,,,,
animal_quicksand,Animal Caught in Quicksand,One of your pack animals is sinking fast in quicksand.,animal,3,false,2,lose_die: Let it go,LOSE_RANDOM_DICE(count=1),rescue: Risk rescue (-2 rerolls next round),LOSE_REROLLS(amount=2),,,,
animal_injured,Animal Injured Stepping in a Hole,A pack animal stepped in a prairie dog hole and injured its leg.,animal,3,false,2,slow_down: Let it slow the group (-1 day),LOSE_DAYS(amount=1),medicine: Use medicine to heal it [HAS_MEDICINE],USE_MEDICINE,,,,
animals_exhausted,Animals Exhausted,The animals are worn out and need rest.,animal,3,false,2,push_on: Push on (-1 hand size next round),LOSE_HAND_SIZE(amount=1),pay: Rest them ($5) [HAS_MONEY amount=5],LOSE_MONEY(amount=5),,,,
bad_mosquitos,Bad Mosquitos,Thick clouds of mosquitos torment the animals all night.,animal,2,false,,endure: Endure it (-1 reroll next round),LOSE_REROLLS(amount=1),,,,,,
bad_water,Bad Water,The water source ahead looks murky and foul.,water,3,false,2,pay: Buy clean water ($4) [HAS_MONEY amount=4],LOSE_MONEY(amount=4),drink: Drink it (-2 rerolls next round),LOSE_REROLLS(amount=2),,,,
bandit_ambush,Bandit Ambush,"Armed bandits block the trail ahead, demanding payment.",bandits,3,false,2,pay: Pay them (lose half your money),LOSE_MONEY_PERCENT(percent=50),fight: Sacrifice equipment to fight back [HAS_EQUIPMENT_ANY],LOSE_EQUIPMENT_CHOICE(count=1); GAIN_MONEY(amount=10),,,,
blizzard,Blizzard,"A fierce blizzard descends, blinding everything in white.",weather,2,false,2,endure: Push through (-1 day),LOSE_DAYS(amount=1),pay: Hunker down ($10) [HAS_MONEY amount=10],LOSE_MONEY(amount=10),,,,
broken_axle,Broken Wagon Axle,A terrible crack — the axle has snapped clean through.,wagon_damage,3,false,2,endure: Lose 2 days repairing,LOSE_DAYS(amount=2),pay: Pay $12 to replace it [HAS_MONEY amount=12],LOSE_MONEY(amount=12),,,,
broken_tongue,Broken Wagon Tongue,The wagon tongue snaps — you can't steer without it.,wagon_damage,3,false,2,endure: Lose 1 day repairing,LOSE_DAYS(amount=1),pay: Pay $6 to fix [HAS_MONEY amount=6],LOSE_MONEY(amount=6),,,,
