id,name,description
coffee_tin,Coffee Tin,Make 2 steel dice
buzzards,Buzzards,Make 3 bone dice
rabbits_foot,Rabbit's Foot,Make 3 lucky dice
firewood,Firewood,Make 3 wooden dice
loaded,Loaded,Make 3 loaded dice
pick_axe,Pick Axe,Make 2 diamond dice
pan_for_gold,Pan for Gold,Make 2 golden dice
chisel,Chisel,Make 2 stone dice
treasure_map,Treasure Map,Double your money (max $20)
shallow_grave,Shallow Grave,Choose 2 from 5 random dice to destroy
trade,Trade,Get money equal to equipment value (max $50)
doctor,Doctor,Creates 2 medicine cards
compass,Compass,Get 2 random trail guides
supply_cache,Supply Cache,Get 2 random supply cards
ingenuity,Ingenuity,Get 1 random piece of equipment
mirage,Mirage,Pick 2 of 5 random dice — left becomes a copy of right
bless,Bless,1 in 4 chance to bless equipment with aura
second_helpings,Second Helpings,Creates last used supply/trail guide
medicine,Medicine,Choose a die — bump its value up or down by 1
omen_stone,Omen Stone,Prevent the next negative trail event effects
shop_pass,Shop Pass,Reroll shop for free on your next shop visit
fools_gold,Fool's Gold,50% chance to gain $30. Otherwise lose half your money
trading_post,Trading Post,Increase sell value of all equipment and consumables by $1
